Vivado Simulator 2019.2
Time resolution is 1 ps
Error en operacion 100111 en tiempo                  187 ns
a = 00111101, b = 00001111, op = 100111, out = 00010101                 187
Error en operacion 100111 en tiempo                  187 ns
a = 00111101, b = 00001111, op = 100111, out = 00001101                 187
Error en operacion 100111 en tiempo                  188 ns
a = 00111101, b = 00001111, op = 100111, out = 00001100                 188
Error en operacion 100111 en tiempo                  188 ns
a = 00111101, b = 00001111, op = 100111, out = 00111110                 188
Error en operacion 100111 en tiempo                  188 ns
a = 00111101, b = 00001111, op = 100111, out = 00111010                 188
a = 01001001, b = 11111101, op = 100110, out = 00111010                 188
Error en operacion 100110 en tiempo                  188 ns
a = 01001001, b = 11111101, op = 100110, out = 00000000                 188
Error en operacion 100110 en tiempo                  188 ns
a = 01001001, b = 11111101, op = 100110, out = 10000000                 188
Error en operacion 100110 en tiempo                  188 ns
a = 01001001, b = 11111101, op = 100110, out = 11000000                 188
Error en operacion 100110 en tiempo                  195 ns
a = 01001001, b = 11111101, op = 100110, out = 01000000                 195
Error en operacion 100110 en tiempo                  195 ns
a = 01001001, b = 11111101, op = 100110, out = 00110000                 195
Error en operacion 100110 en tiempo                  195 ns
a = 01001001, b = 11111101, op = 100110, out = 00000010                 195
Error en operacion 100110 en tiempo                  196 ns
a = 01001001, b = 11111101, op = 100110, out = 00000110                 196
Error en operacion 100110 en tiempo                  196 ns
a = 01001001, b = 11111101, op = 100110, out = 00110100                 196
a = 00110110, b = 00011011, op = 100000, out = 00110100                 196
Error en operacion 100000 en tiempo                  196 ns
a = 00110110, b = 00011011, op = 100000, out = 10110100                 196
Error en operacion 100000 en tiempo                  203 ns
a = 00110110, b = 00011011, op = 100000, out = 00110101                 203
Error en operacion 100000 en tiempo                  203 ns
a = 00110110, b = 00011011, op = 100000, out = 00110001                 203
Error en operacion 100000 en tiempo                  203 ns
a = 00110110, b = 00011011, op = 100000, out = 00110101                 203
Error en operacion 100000 en tiempo                  203 ns
a = 00110110, b = 00011011, op = 100000, out = 01001111                 203
Error en operacion 100000 en tiempo                  203 ns
a = 00110110, b = 00011011, op = 100000, out = 00101101                 203
Error en operacion 100000 en tiempo                  204 ns
a = 00110110, b = 00011011, op = 100000, out = 00101100                 204
Error en operacion 100000 en tiempo                  204 ns
a = 00110110, b = 00011011, op = 100000, out = 00101000                 204
Error en operacion 100000 en tiempo                  204 ns
a = 00110110, b = 00011011, op = 100000, out = 01000000                 204
Error en operacion 100000 en tiempo                  204 ns
a = 00110110, b = 00011011, op = 100000, out = 11000000                 204
a = 01010101, b = 00100101, op = 100010, out = 11000000                 204
Error en operacion 100010 en tiempo                  204 ns
a = 01010101, b = 00100101, op = 100010, out = 11000100                 204
Error en operacion 100010 en tiempo                  204 ns
a = 01010101, b = 00100101, op = 100010, out = 10110100                 204
Error en operacion 100010 en tiempo                  204 ns
a = 01010101, b = 00100101, op = 100010, out = 10110101                 204
